"parent","child","relation_type"
"911","911","sibling"
"NEOSTRATA","NEOSTRATA","sibling"
"NEOSTRATA","NeoStrata","sibling"
"NEOSTRATA","neostrata","sibling"
"KOCOSTAR","KOCOSTAR","sibling"
"KOCOSTAR","kocostar","sibling"
"KOCOSTAR","Kocostar","sibling"
"XTEND","Xtend","sibling"
"XTEND","XTEND","sibling"
"XTEND","xtend","sibling"
"Xtend","XTEND","sibling"
"ROYAL DENTA","ROYAL DENTA","sibling"
"ROYAL DENTA","Royal Denta","sibling"
"ROYAL DENTA","royal-denta","sibling"
"OPALESCENCE","Opalescence","sibling"
"OPALESCENCE","OPALESCENCE","sibling"
"OPALESCENCE","opalescence","sibling"
"Opalescence","OPALESCENCE","sibling"
"SWANSON","SWANSON","sibling"
"SWANSON","Swanson","sibling"
"SWANSON","swanson","sibling"
"ACAPPELLA NATURALS","Acappella Naturals","sibling"
"ACAPPELLA NATURALS","Acappella","sibling"
"ACAPPELLA NATURALS","acappella","sibling"
"Acappella Naturals","ACAPPELLA NATURALS","sibling"
"ZEEL T","ZEEL T","sibling"
"ZEEL T","Heel","sibling"
"ZEEL T","heel","sibling"
"BABOO","BABOO","sibling"
"BABOO","Baboo","sibling"
"BABOO","baboo","sibling"
"PHARMACERIS","Pharmaceris","sibling"
"PHARMACERIS","PHARMACERIS","sibling"
"PHARMACERIS","pharmaceris","sibling"
"Pharmaceris","PHARMACERIS","sibling"
"BIORGA","BIORGA","sibling"
"BIORGA","Biorga","sibling"
"BIORGA","biorga","sibling"
"MARTIDERM","MartiDerm","sibling"
"MARTIDERM","MARTIDERM","sibling"
"MartiDerm","MARTIDERM","sibling"
"DR. BROWN S","DR. BROWNS","sibling"
"DR. BROWN S","dr-brown-s","sibling"
"DR. BROWNS","DR. BROWN S","sibling"
"Swanson","SWANSON","sibling"
"SAFFRA MOOD","SAFFRA MOOD","sibling"
"SAFFRA MOOD","biopills","sibling"
"Baboo","BABOO","sibling"
"BIOGAIA","BIOGAIA","sibling"
"BIOGAIA","BioGaia","sibling"
"BIOGAIA","biogaia","sibling"
"BIOGAIA","PROTECTIS","sibling"
"SUNSTAR GUM","GUM","sibling"
"SUNSTAR GUM","G.U.M.","sibling"
"GUM","SUNSTAR GUM","sibling"
"GUM","GUM","sibling"
"GUM","G.U.M.","sibling"
"GUM","g-u-m","sibling"
"GUM","G.U.M","sibling"
"AGOVIRAX","Agovirax","sibling"
"AGOVIRAX","AGOVIRAX","sibling"
"AGOVIRAX","agovirax","sibling"
"Agovirax","AGOVIRAX","sibling"
"REFLUXAID","Refluxaid","sibling"
"REFLUXAID","REFLUXAID","sibling"
"REFLUXAID","refluxaid","sibling"
"Refluxaid","REFLUXAID","sibling"
"SVR","SVR","sibling"
"SVR","svr","sibling"
"SVR","FILORGA","sibling"
"VITABIOTICS","WELL","sibling"
"VITABIOTICS","PREGNACARE","sibling"
"VITABIOTICS","Osteocare","sibling"
"VITABIOTICS","WELLWOMAN","sibling"
"VITABIOTICS","Wellwoman","sibling"
"VITABIOTICS","Cardioace","sibling"
"VITABIOTICS","VISIONACE","sibling"
"VITABIOTICS","Perfectil","sibling"
"VITABIOTICS","PERFECTIL","sibling"
"VITABIOTICS","Feroglobin","sibling"
"VITABIOTICS","NEUROZAN","sibling"
"VITABIOTICS","Neurozan","sibling"
"VITABIOTICS","vitabiotics","sibling"
"VITABIOTICS","Wellman","sibling"
"VITABIOTICS","IMMUNACE","sibling"
"VITABIOTICS","Immunace","sibling"
"VITABIOTICS","MENOPACE","sibling"
"VITABIOTICS","Menopace","sibling"
"VITABIOTICS","WellKid","sibling"
"VITABIOTICS","WELLMAN","sibling"
"VITABIOTICS","Pregnacare","sibling"
"VITABIOTICS","OSTEOCARE","sibling"
"VITABIOTICS","ULTRA","sibling"
"VITABIOTICS","Ultra","sibling"
"VITABIOTICS","Visionace","sibling"
"VITABIOTICS","CARDIOACE","sibling"
"VITABIOTICS","ULTRA OMEGA","sibling"
"VITABIOTICS","Vitabiotics","sibling"
"VITABIOTICS","FEROGLOBIN","sibling"
"VITABIOTICS","ULTRA GINKGO&GINSENG","sibling"
"VITABIOTICS","Wellteen","sibling"
"VITABIOTICS","pregnacare","sibling"
"VITABIOTICS","wellman","sibling"
"VITABIOTICS","wellwoman","sibling"
"WELL","VITABIOTICS","sibling"
"MOLLERS","MOLLER","sibling"
"MOLLERS","Mollers","sibling"
"MOLLERS","mollers","sibling"
"MOLLER","MOLLERS","sibling"
"GENTLE DAY","GENTLE DAY","sibling"
"GENTLE DAY","Gentle day","sibling"
"GENTLE DAY","gentle-day","sibling"
"Royal Denta","ROYAL DENTA","sibling"
"BIFOVAL","Bifoval","sibling"
"BIFOVAL","BIFOVAL","sibling"
"BIFOVAL","bifoval","sibling"
"Bifoval","BIFOVAL","sibling"
"ACONITUM","Aconitum","sibling"
"ACONITUM","ACONITUM","sibling"
"ACONITUM","LIUBERIN","sibling"
"ACONITUM","TOTALPOWER","sibling"
"ACONITUM","aconitum","sibling"
"ACONITUM","Acosedum","sibling"
"ACONITUM","MAGNE B6","sibling"
"ACONITUM","SWEET DREAMS","sibling"
"ACONITUM","MEFLOVAN","sibling"
"ACONITUM","RAMI ŠIRDIS","sibling"
"ACONITUM","VITAMIN C PRO FORTE","sibling"
"ACONITUM","CITO","sibling"
"ACONITUM","KALICORD","sibling"
"ACONITUM","KriOmega","sibling"
"ACONITUM","KRIOMEGA","sibling"
"ACONITUM","CORDISOL","sibling"
"ACONITUM","POTENZINE","sibling"
"ACONITUM","VITAMIN C","sibling"
"ACONITUM","TRIPTAN","sibling"
"ACONITUM","B COMPLEX","sibling"
"ACONITUM","ACOSEDUM","sibling"
"ACONITUM","RUTIN","sibling"
"ACONITUM","rami-sirdis","sibling"
"ACONITUM","saldus-miegas","sibling"
"Aconitum","ACONITUM","sibling"
"Aconitum","VIRONOX","sibling"
"LIVOL","Livol","sibling"
"LIVOL","LIVOL","sibling"
"LIVOL","livol","sibling"
"LIVOL","LIVOL EXTRA","sibling"
"Livol","LIVOL","sibling"
"HARKONTROLL","HARKONTROLL","sibling"
"HARKONTROLL","harkontroll","sibling"
"BEROCCA","BEROCCA","sibling"
"BEROCCA","berocca","sibling"
"NEW NORDIC","New Nordic","sibling"
"NEW NORDIC","new-nordic","sibling"
"NEW NORDIC","NEW NORDIC","sibling"
"NEW NORDIC","ACTIVE IMMUNE","sibling"
"NEW NORDIC","BONES MINERALS","sibling"
"NEW NORDIC","CLEAR BRAIN","sibling"
"NEW NORDIC","APPLE CIDER","sibling"
"NEW NORDIC","HAIR VOLUME","sibling"
"NEW NORDIC","BLUE BERRY","sibling"
"NEW NORDIC","FOLKEPILLEN","sibling"
"NEW NORDIC","SKIN CARE","sibling"
"NEW NORDIC","MULTIVITAMINS","sibling"
"NEW NORDIC","ATEROLIP","sibling"
"NEW NORDIC","MULBERRY","sibling"
"NEW NORDIC","FAT BURNER","sibling"
"NEW NORDIC","CHILI BURN","sibling"
"NEW NORDIC","PROSTA VITAL","sibling"
"New Nordic","NEW NORDIC","sibling"
"New Nordic","FRUTIN","sibling"
"New Nordic","TONE","sibling"
"New Nordic","PROSTA VITAL","sibling"
"LA ROCHE-POSAY","La Roche-Posay","sibling"
"LA ROCHE-POSAY","LA ROCHE-POSAY","sibling"
"LA ROCHE-POSAY","la-roche-posay","sibling"
"La Roche-Posay","LA ROCHE-POSAY","sibling"
"VITIRON","VitirON","sibling"
"VITIRON","VITIRON","sibling"
"VITIRON","vitiron","sibling"
"VitirON","VITIRON","sibling"
"Mollers","MOLLERS","sibling"
"SAMBUCUS","Sambucus","sibling"
"SAMBUCUS","SAMBUCUS ORGANIC","sibling"
"SAMBUCUS","SAMBUCUS","sibling"
"SAMBUCUS","sambucus","sibling"
"Sambucus","SAMBUCUS","sibling"
"SAMBUCUS ORGANIC","SAMBUCUS","sibling"
"EUCERIN","Eucerin","sibling"
"EUCERIN","EUCERIN","sibling"
"EUCERIN","eucerin","sibling"
"Eucerin","EUCERIN","sibling"
"LYSI","LYSI","sibling"
"LYSI","Lysi","sibling"
"LYSI","lysi","sibling"
"VERSAN","VERSAN","sibling"
"VERSAN","Versan","sibling"
"VERSAN","versan","sibling"
"ECOSH","ECOSH","sibling"
"ECOSH","Ecosh","sibling"
"ECOSH","ecosh","sibling"
"Ecosh","ECOSH","sibling"
"CEMIO","RED3","sibling"
"CEMIO","cemio","sibling"
"CEMIO","CEMIO GEMZE","sibling"
"CEMIO","Cemio Switzerland","sibling"
"RED3","CEMIO","sibling"
"SMART HIT","SmartHit IV","sibling"
"SMART HIT","SMARTHIT","sibling"
"SMART HIT","smarthit","sibling"
"SmartHit IV","SMART HIT","sibling"
